course_code,prof_name,avg_grade,samples
CE616A,Rajesh Srivastava,7.696666666666666,3
CE617A,Saumyen Guha,8.5,1
CE618,Richa Ojha,9.5,1
CE618A,Richa Ojha,9.33,1
CE620,Sudib Kumar Mishra,8.3,1
CE620,Vinay Kumar Gupta,6.56,1
CE620A,Samit Ray Chaudhuri,8.58,1
CE620A,Vinay Kumar Gupta,7.0,1
CE621,Vinay Kumar Gupta,7.53,1
CE621A,Amar Nath Roy Chowdhury,8.11,1
CE622,Amar Nath Roy Chowdhury,8.7,1
CE622A,Amar Nath Roy Chowdhury,7.11,1
CE622A,Sudib Kumar Mishra,7.69,1
CE623,Samit Ray Chaudhuri,9.58,1
CE623A,Chinmoy Kolay,7.8,1
CE624A,Chinmoy Kolay,10.0,1
CE629A,Chinmoy Kolay,8.29,1
CE629A,Samit Ray Chaudhuri,8.93,1
CE630,Gaurav Tiwari,10.0,1
CE630A,Gaurav Tiwari,7.28,1
CE631,Bipin Kumar Gupta,6.86,1
CE631,Rajesh Sathiyamoorthy,7.58,1
CE632,Priyanka Ghosh,8.0,1
CE632A,Nihar Ranjan Patra,8.14,1
CE633,Jagdish Prasad Sahoo,8.22,1
CE634,Nihar Ranjan Patra,8.3,1
CE634A,Rajesh Sathiyamoorthy,7.33,1
CE635,Jagdish Prasad Sahoo,9.0,1
CE635A,Priyanka Ghosh,7.82,1
CE636A,Prishati Raychowdhury,7.470000000000001,2
CE637,Arghya Das,7.33,1
CE637A,Jagdish Prasad Sahoo,8.24,1
CE638,Nihar Ranjan Patra,8.305,2
CE638P,Nihar Ranjan Patra,8.38,1
CE657,Chirag Kothari,6.13,2
CE664A,Abhas Singh,9.0,1
CE665,Manoj Kumar Tiwari,8.33,1
CE665,Purnendu Bose,6.58,1
CE665A,Purnendu Bose,7.88,1
CE665A,Vinod Tare,6.885,2
CE666,Anubha Goel,6.83,1
CE666A,Mukesh Sharma,6.26,1
CE667A,Mukesh Sharma,7.46,1
CE668,Vinod Tare,8.2,1
CE668A,Vinod Tare,8.0,2
CE669,Tarun Gupta,6.5,1
CE670,Balaji Devaraju,7.67,1
CE671,Bharat Lohani,7.67,1
CE671A,Bharat Lohani,7.25,1
CE673,Onkar Dikshit,8.73,1
CE676,Bharat Lohani,7.18,1
CE676A,Bharat Lohani,8.6,1
CE677,Salil Goel,7.88,1
CE678,B. Nagarajan,5.0,1
CE678,Balaji Devaraju,6.8,1
CE678A,B. Nagarajan,8.0,1
CE683,Partha Chakroborty,6.365,2
CE683A,Partha Chakroborty,7.52,2
CE685,Partha Chakroborty,8.0,1
CE687,Aditya Medury,7.6,1
CE687A,Aditya Medury,8.015,2
CE716,Chirag Kothari,8.2,1
CE722,Partha Narayan Mishra,9.67,1
CE723,Samit Ray Chaudhuri,9.18,1
CE723,Sudib Kumar Mishra,7.57,1
CE723A,Amar Nath Roy Chowdhury,6.38,1
CE725,Suparno Mukhopadhyay,9.14,1
CE725A,Suparno Mukhopadhyay,6.46,1
CE731A,Prishati Raychowdhury,7.28,1
CE732,Partha Narayan Mishra,8.71,1
CE732,Rajesh Sathiyamoorthy,8.5,1
CE732A,Partha Narayan Mishra,9.335,2
CE734A,Priyanka Ghosh,8.42,1
CE736,Gourabananda Pahar,8.33,1
CE737A,Richa Ojha,9.33,1
CE738,Shivam Tripathi,9.31,1
CE738A,Shivam Tripathi,9.46,1
CE763,Manoj Kumar Tiwari,9.08,1
CE763A,Purnendu Bose,8.4,1
CE763A,Tarun Gupta,9.0,1
CE764A,Tarun Gupta,8.17,1
CE766,Anubha Goel,8.61,1
CE767,Abhas Singh,7.0,1
CE768A,Anubha Goel,7.38,1
CE770,Onkar Dikshit,7.82,1
CE771,Onkar Dikshit,8.63,1
CE780,Prabin Kumar Ashish,8.5,1
CE781,Venkatesan Kanagaraj,8.0,1
CE784,Pranamesh Chakraborty,7.65,1
CE784A,Pranamesh Chakraborty,7.69,1
CE785,Prabin Kumar Ashish,9.0,1
CE786,Animesh Das,6.18,2
CE786A,Animesh Das,6.0,1
CE787,Aditya Medury,7.5,1
CE787,Pranamesh Chakraborty,7.13,1
CE787A,Pranamesh Chakraborty,7.5,1
CE788,Aditya Medury,8.33,1
CE789,Hemant Gehlot,8.31,1
CE797,Shivam Tripathi,,1
CE797,Tushar Apurv,,1
CE797A,Syam Nair,,1
CE798,Shivam Tripathi,,1
CE798,Tushar Apurv,,1
CE798A,Syam Nair,,1
CGS401,Devpriya Kumar,7.345000000000001,2
CGS401A,Devpriya Kumar,7.24,1
CGS600,Himanshu Yadav,8.3,1
CGS601,Ark Verma,9.0,1
CGS610M,Ark Verma,8.18,1
CGS611M,Devpriya Kumar,8.42,1
CGS698C,Himanshu Yadav,7.895,2
CGS698E,Devpriya Kumar,8.75,1
CGS702,Ark Verma,8.56,1
CGS801,Ark Verma,,1
CHE200,Sanjeev Garg,,1
CHE201,Siddhartha Panda,7.4,1
CHE211A,Rahul Mangal,6.59,1
CHE212,Akash Choudhary,7.59,1
CHE213,Soumik Das,7.42,1
CHE251,Sri Sivakumar,6.995,2
CHE251A,Sri Sivakumar,6.91,1
CHE261,Raghavendra Ragipani,7.61,1
CHE300A,Himanshu Sharma,,1
CHE300A,Raghvendra Singh,,1
CHE311,Viswanathan Shankar,7.61,1
CHE312A,Anurag Tripathi,6.81,1
CHE331A,Animangsu Ghatak,4.75,1
CHE352A,Raghavendra Ragipani,7.08,1
