A,A*,B,B+,C,C+,D,D+,E,F,S,S^,X,course_code,course_title,prof_name,semester,year,id
3,,,7,,,,,,,,,,EE684,FIBER-OPTIC COMMUNICATIONS,Pradeep Kumar,1,2023-24,1046
,,4,1,,,,,,,,,,EE684A,FIBER-OPTIC COMMUNICATIONS,Pradeep Kumar,2,2022-23,1047
7,2,,2,,1,,,,,,,,AE631,MULTIDISCIPLINARY DESIGN OPTIMIZATION,Pradeep Moise,1,2024-25,1048
7,2,3,2,9,9,4,6,,3,,,,AE610,AERODYNAMICS-I,Pradeep Moise,1,2024-25,1049
6,2,6,7,5,4,4,1,1,,,,,AE612,AERODYNAMICS II,Pradeep Moise,2,2023-24,1050
4,5,9,7,2,2,,1,,,,,,AE612A,AERODYNAMICS II,Pradeep Moise,2,2022-23,1051
5,,8,6,4,4,3,1,,,,,,CE784,MACHINE LEARNING AND DATA ANALYTICS FOR CIVIL ENGINEERING APPLICATIONS,Pranamesh Chakraborty,1,2024-25,1052
2,,8,2,21,44,21,22,8,18,,,,CE382A,TRANSPORTATION ENGINEERING,Pranamesh Chakraborty,2,2023-24,1053
1,,1,,2,,,,,,,,,CE787A,COMPUTATIONAL TOOLS FOR TRANSPORTATION ENGINEERING,Pranamesh Chakraborty,1,2023-24,1054
2,,3,,3,5,,2,,,,,,CE787,COMPUTATIONAL TOOLS FOR TRANSPORTATION ENGINEERING,Pranamesh Chakraborty,1,2023-24,1055
14,,13,15,9,6,5,4,,1,4,,1,CE784A,MACHINE LEARNING AND DATA ANALYTICS FOR CIVIL ENGINEERING APPLICATIONS,Pranamesh Chakraborty,2,2022-23,1056
,,58,,65,,4,,,,,,,ME231P,FLUID MECHANICS LAB,Pranav Joshi,3,2020-21,1057
,,,,,,,,,,3,,,ME399A,MECHANICAL ENGINEERING COMMUNICATION SKILLS,Pranav Joshi,3,2018-19,1058
4,,5,2,4,4,1,5,,,,,,CHM423A,PHYSICAL CHEMISTRY LABORATORY,Pratik Sen,1,2024-25,1059
2,3,3,3,1,2,2,,,,,,,CHM636,PHYSICAL PHOTOCHEMISTRY,Pratik Sen,2,2023-24,1060
1,1,2,,4,,4,,,,,,,CHM636A,PHYSICAL PHOTOCHEMISTRY,Pratik Sen,1,2021-22,1061
1,1,6,,,,,,,,,,,CHM685A,MOLECULE RADIATION INTERACTION,Pratik Sen,1,2019-20,1062
,,,,,,,,,,,,,CHM799,RESEARCH,Pratik Sen,1,2019-20,1063
,,,,,,,,,,12,,,CS888,INTRODUCTION TO THE PROFESSION AND COMMUNICATIONS SKILLS,Preeti Malakar,1,2024-25,1064
21,6,34,40,11,9,4,5,,,,,,CS633,PARALLEL COMPUTING,Preeti Malakar,2,2023-24,1065
6,2,7,13,,1,,,,,,,,CS677A,TOPICS IN LARGE DATA ANALYSIS AND VISUALIZATION,Preeti Malakar,1,2023-24,1066
,,,,,,,,,,133,,3,CS300A,TECHNICAL COMMUNICATION,Preeti Malakar,1,2023-24,1067
68,8,142,75,99,155,21,25,,12,,,,TA111,ENGINEERING GRAPHICS,Prishati Raychowdhury,1,2023-24,1068
4,,10,,9,,9,,,,,,,CE636A,GEOTECHNICAL EARTHQUAKE ENGINEERING,Prishati Raychowdhury,2,2022-23,1069
5,,12,,6,,,,,2,,,,CE731A,RISK & RELIABILITY IN GEOTECHNICAL ENGINEERING,Prishati Raychowdhury,2,2021-22,1070
,,,,,,,,,,128,,,CE341A,CIVIL ENGINEERING COMMUNICATION SKILLS,Prishati Raychowdhury,1,2021-22,1071
,,,,,,,,,,112,,,CE341A,CIVIL ENGINEERING COMMUNICATION SKILLS,Prishati Raychowdhury,1,2019-20,1072
8,,9,,4,,,,,,,,,CE636A,GEOTECHNICAL EARTHQUAKE ENGINEERING,Prishati Raychowdhury,2,2019-20,1073
1,,3,,1,4,,1,,,,,,AE702,CONTINUUM MECHANICS,Pritam Chakraborty,1,2024-25,1074
3,,4,1,1,4,,,,,,,,AE687A,AEROSPACE STRUC ANALYSIS II,Pritam Chakraborty,2,2022-23,1075
,,,,,,,,,,,,,AE899,MS - RESEARCH THESIS,Pritam Chakraborty,1,2022-23,1076
,,,,,,,,,,,,,AE799,PHD THESIS,Pritam Chakraborty,1,2022-23,1077
1,,2,1,1,1,,,,,,,,AE702A,CONTINUUM MECHANICS,Pritam Chakraborty,1,2022-23,1078
1,,3,2,,4,,,,,,,,CE632,FOUNDATION ANALYSIS AND DESIGN,Priyanka Ghosh,2,2023-24,1079
4,1,14,10,13,20,54,49,,4,,,,CE352A,FOUNDATION DESIGN,Priyanka Ghosh,2,2022-23,1080
3,2,4,5,2,3,,,,,,,,CE734A,PLASTIC EQUILIBRIUM IN SOILS,Priyanka Ghosh,1,2022-23,1081
5,,2,,2,,2,,,,,,,CE635A,FOUNDATION DYNAMICS,Priyanka Ghosh,2,2021-22,1082
30,,33,,31,,33,,2,3,,,,CE351A,SOIL MECHANICS,Priyanka Ghosh,1,2021-22,1083
4,1,14,9,27,19,7,16,,2,,,,CE412A,WATER SUPPLY AND WASTEWATER DISPOSAL SYSTEMS,Purnendu Bose,2,2023-24,1084
1,,,2,5,3,,,,1,,,,CE665,ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS,Purnendu Bose,1,2023-24,1085
3,3,12,,2,,,,,,1,,,CE763A,SOLID AND HAZARDOUS WASTE MANAGEMENT,Purnendu Bose,2,2021-22,1086
61,1,62,,3,,2,,,,,,,CE311P,ENVIRONMENTAL QUALITY AND POLLUTION LAB,Purnendu Bose,1,2021-22,1087
4,3,19,,5,,,,,1,,,1,CE665A,ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS,Purnendu Bose,1,2019-20,1088
36,3,24,40,8,33,,1,,,,,,CS315,PRINCIPLES OF DATA BASE SYSTEMS,Purushottam Kar,1,2024-25,1089
6,,15,7,7,5,,1,,,,,,CS771A,INTRODUCTION TO MACHINE LEARNING,Purushottam Kar,3,2023-24,1090
34,2,43,56,6,24,,,,,,,,CS771,INTRODUCTION TO MACHINE LEARNING,Purushottam Kar,3,2023-24,1091
136,10,126,134,33,54,,9,,1,,,,CS771,INTRODUCTION TO MACHINE LEARNING,Purushottam Kar,2,2023-24,1092
126,9,117,133,11,88,,2,,,,,,CS771A,INTRODUCTION TO MACHINE LEARNING,Purushottam Kar,2,2022-23,1093
4,1,23,13,14,6,,2,,6,,,,AE321,FLIGHT MECHANICS,Raghavendra P Kukillaya,1,2024-25,1094
4,,5,6,,1,,,,1,,,,AE648,FLIGHT STABILITY AND CONTROL,Raghavendra P Kukillaya,2,2023-24,1095
4,,6,2,,6,,,,,,,,AE647,FLIGHT DYNAMICS,Raghavendra P Kukillaya,1,2023-24,1096
4,,20,13,8,20,2,4,,2,,,,AE322A,AIRCRAFT CONTROL SYSTEMS,Raghavendra P Kukillaya,2,2022-23,1097
7,3,22,26,3,5,1,5,,1,,,,AE321A,FLIGHT MECHANICS,Raghavendra P Kukillaya,1,2022-23,1098
5,,6,,3,,,,,1,,,,AE648A,FLIGHT STABILITY AND CONTROL,Raghavendra P Kukillaya,2,2021-22,1099
2,1,2,3,1,,,,,,,,,CHE679,SPECIAL TOPICS,Raghavendra Ragipani,1,2024-25,1100
,,2,3,2,4,1,1,,,,,,CHE352A,CHEMICAL PROCESS SIMULATION LAB,Raghavendra Ragipani,3,2023-24,1101
12,6,24,22,17,25,7,6,,,,,,CHE261,CHEMICAL PROCESS TECHNOLOGY,Raghavendra Ragipani,2,2023-24,1102
,,1,1,1,,2,,,,,,,CHE632A,ANALYSIS AND DESIGN OF MULTIPHASE REACTORS,Raghavendra Ragipani,1,2023-24,1103
,1,1,,,,,,,,,,,CHE632,ANALYSIS AND DESIGN OF MULTIPHASE REACTORS,Raghavendra Ragipani,1,2023-24,1104
4,,6,8,5,7,1,6,1,,,,,DMS621,THEORY AND APPLICATIONS OF MULTI-CRITERIA DECISION MAKING,Raghu Nandan Sengupta,2,2023-24,1105
34,3,26,22,18,25,19,29,,8,,,,CS345,ALGORITHMS-II,Raghunath Tewari,1,2024-25,1106
3,2,,,,,,,,,,,,CS698Z,LINUX KERNEL PROGRAMMING,Raghunath Tewari,2,2023-24,1107
35,4,38,25,20,36,3,24,,2,,,,ESO207A,DATA STRUCTURE & ALGORITHM,Raghunath Tewari,1,2023-24,1108
47,4,21,11,13,19,8,16,,4,,,,ESO207,DATA STRUCTURE & ALGORITHM,Raghunath Tewari,1,2023-24,1109
1,,3,1,,2,,,,,,,,CS640A,COMPUTATIONAL COMPLEXITY,Raghunath Tewari,2,2022-23,1110
,1,,,,,,,,,,,,CS642A,CIRCUIT COMPLEXITY THEORY,Raghunath Tewari,1,2022-23,1111
1,,1,,,2,,,,1,,,,MSE671,HEAT TREATMENT AND SURFACE HARDENING,Raghupathy Yuvaraj,1,2024-25,1112
1,1,12,3,6,6,,2,,,,,,MSE616,THERMODYNAMICS OF MATERIALS,Raghupathy Yuvaraj,2,2023-24,1113
2,,1,1,2,,,1,,,,,,MSE654,ADVANCED CORROSION SCIENCE AND TECHNOLOGY,Raghupathy Yuvaraj,1,2023-24,1114
4,1,5,4,,2,,,,,,,,EE642,ANTENNAS ANALYSIS & SYNTHESIS,Raghvendra Kumar Chaudhary,1,2024-25,1115
45,8,33,66,4,39,1,2,,1,,,,EE340A,ELECTROMAGNETIC THEORY,Raghvendra Kumar Chaudhary,2,2023-24,1116
,,2,,,,,,,,,,,EE642A,ANTENNAS ANALYSIS & SYNTHESIS,Raghvendra Kumar Chaudhary,1,2023-24,1117
1,,3,3,,,,,,,,,,EE642,ANTENNAS ANALYSIS & SYNTHESIS,Raghvendra Kumar Chaudhary,1,2023-24,1118
,1,2,3,,4,,,,,,,,EE648A,MICROWAVE CIRCUITS,Raghvendra Kumar Chaudhary,2,2022-23,1119
13,2,19,4,2,13,,1,,,,,,CHE684,AN INTRODUCTION TO SYSTEMS BIOLOGY,Raghvendra Singh,1,2024-25,1120
17,2,5,5,1,1,,,,,,,,CHE684,AN INTRODUCTION TO SYSTEMS BIOLOGY,Raghvendra Singh,2,2023-24,1121
,,,,,,,,,,106,,,CHE300A,CHEMICAL ENGINEERING COMMUNICATION SKILLS,Raghvendra Singh,1,2023-24,1122
18,2,,6,1,,,,,,,,,CHE684A,AN INTRODUCTION TO SYSTEMS BIOLOGY,Raghvendra Singh,2,2022-23,1123
27,5,23,36,7,6,2,2,,,,,,CHE352A,CHEMICAL PROCESS SIMULATION LAB,Raghvendra Singh,1,2022-23,1124
4,1,3,3,5,4,,,,,,,,CHE611,TRANSPORT PHENOMENA,Rahul Mangal,2,2023-24,1125
,,,,,,,,,,3,,3,CHE801A,GRADUATE SEMINAR,Rahul Mangal,1,2023-24,1126
30,,,,,,,,,1,,,,CHE801,GRADUATE SEMINAR,Rahul Mangal,1,2023-24,1127
7,1,44,26,5,24,,1,,,,,,CHE492A,UNIT OPERATIONS AND PROCESS CONTROL LABORATORY,Rahul Mangal,1,2023-24,1128
12,6,15,14,18,18,13,15,2,7,,,,CHE211A,FLUID MECHANICS AND ITS APPLICATION,Rahul Mangal,2,2022-23,1129
5,1,,,,,,,,,,,,CHE677A,INTRODUCTION TO PHYSICS OF POLYMERIC SYSTEM,Rahul Mangal,1,2022-23,1130
,,1,1,,3,,,,,,,,MSE651,ADVANCED CONCEPTS IN IRONMAKING,Rahul Sarkar,1,2024-25,1131
4,3,13,14,29,12,12,20,,6,,,,MSE202,RATE PROCESSES,Rahul Sarkar,2,2023-24,1132
2,1,2,5,8,7,1,3,,1,,,,MSE421A,IRON AND STEEL MAKING,Rahul Sarkar,2,2022-23,1133
17,3,34,27,1,7,,1,,,,,,MSE314A,PROCESS ENGINEERING LABORATORY,Rahul Sarkar,2,2022-23,1134
7,,4,1,6,1,2,,,1,,,,MSE651A,ADVANCED CONCEPTS IN IRONMAKING,Rahul Sarkar,1,2022-23,1135
9,2,3,9,,,,,,,,,,CHM649,PRINCIPLES OF INORGANIC CHEMISTRY,Raja Angamuthu,1,2024-25,1136
36,10,18,7,11,16,1,6,,,,,,CHM242A,BASIC INORGANIC CHEMISTRY,Raja Angamuthu,3,2023-24,1137
30,9,23,12,15,18,5,4,,,,,,CHM242,BASIC INORGANIC CHEMISTRY,Raja Angamuthu,3,2023-24,1138
22,9,18,7,10,11,,4,,,,,,CHM663,ELECTRON PROTON AND HYDRIDES,Raja Angamuthu,2,2023-24,1139
63,8,80,43,26,101,,5,,,,,,CHM241,BASIC INORGANIC CHEMISTRY - I,Raja Angamuthu,1,2023-24,1140
2,2,,,,,,,,,,,,ART704,ART AS A MEDIUM OF COMMUNICATION,Rajarshi Sengupta,1,2024-25,1141
5,,21,15,9,24,1,2,,,,,,ART406,ART CRITICISM: THEORY AND PRACTICE,Rajarshi Sengupta,1,2024-25,1142
1,,,,,,,,,,,,,FA888,INTRODUCTION TO PROFESSION AND COMMUNICATION SKILL IN FINE ARTS,Rajarshi Sengupta,2,2023-24,1143
3,1,,,,,,,,,,,,ART706,VISUAL ETHNOGRAPHY,Rajarshi Sengupta,2,2023-24,1144
3,,3,5,1,2,1,,,,,,,CS672,COMPLEXITY MEASURES FOR BOOLEAN FUNCTIONS,Rajat Mittal,1,2024-25,1145
3,1,11,9,7,5,,1,,,,,,CS682,QUANTUM COMPUTING,Rajat Mittal,2,2023-24,1146
5,,3,2,,,1,,,,,,,CS655A,TOPICS IN LINEAR PROGRAMMING,Rajat Mittal,1,2023-24,1147
,,3,,,,,,,,,,,CS655,TOPICS IN LINEAR PROGRAMMING,Rajat Mittal,1,2023-24,1148
13,3,34,23,28,19,3,16,,3,,,,CS203B,MATHEMATICS FOR COMPUTER SCIENCE -III,Rajat Mittal,2,2022-23,1149
,,1,,1,,,,,,,,,CS628,COMPUTER SYSTEMS SECURITY,Rajat Moona,1,2010-11,1150
,,1,,,,,,,,,,,CS628,COMPUTER SYSTEMS SECURITY,Rajat Moona,1,2009-10,1151
1,,,,,,,,,,,,,CS422,COMPUTER ARCHITECTURE,Rajat Moona,2,2009-10,1152
,,1,,1,,,,,,,,,CS355,PROGRAMMING TOOLS AND TECHNIQUES,Rajat Moona,2,2008-09,1153
13,,20,19,8,9,14,8,,4,,,,MSE301,PHASE TRANSFORMATIONS,Rajdip Mukherjee,1,2024-25,1154
10,2,4,4,4,6,8,5,,1,,,,MSE639,INTERFACES AND MATERIALS PROPERTIES,Rajdip Mukherjee,2,2023-24,1155
1,,1,1,,1,,,,,,,,MSE639A,INTERFACES AND MATERIALS PROPERTIES,Rajdip Mukherjee,2,2022-23,1156
22,,16,16,6,8,10,11,,4,,,,MSE301A,PHASE TRANSFORMATIONS,Rajdip Mukherjee,1,2022-23,1157
11,,6,,9,,8,,,,,,,MSE608A,MICROSTRUCTURE MODELLING AND SIMULATION,Rajdip Mukherjee,2,2021-22,1158
5,,12,5,8,10,,1,,2,,,,PHY315,MODERN PHYSICS LABORATORY,Rajeev Gupta,1,2024-25,1159
21,,12,,1,,,,,,,,,PHY566A,M.SC. PROJECT III,Rajeev Gupta,2,2019-20,1160
4,,25,,5,,,,,,,,,PHY568A,M.SC. PROJECT IV,Rajeev Gupta,2,2019-20,1161
19,,9,,1,,,,,,,,,PHY568A,M.SC. PROJECT IV,Rajeev Gupta,2,2018-19,1162
8,,13,,8,,,,,,,,,PHY566A,M.SC. PROJECT III,Rajeev Gupta,2,2018-19,1163
,,1,,,,,,,,,,,PHY558A,BATCHLOR OF SCIENCE PROJECT -IV,Rajeev Gupta,2,2016-17,1164
,,16,5,9,6,1,7,,2,,,,SEE622,SUSTAINABLE ENERGY AND ENABLING NET ZERO EMISSIONS,Rajeev Jindal,1,2024-25,1165
1,,12,6,4,7,1,3,,,,,,SEE628,POLICY PROCESSES AND ANALYTICAL METHODS: APPLICATION TO CLIMATE POLICIES,Rajeev Jindal,2,2023-24,1166
3,1,10,3,7,10,3,4,,4,,,,SEE613,SOLAR PHOTOVOLTAICS,Rajeev Jindal,2,2023-24,1167
,,,,,,,,,,23,,,SEE691A,SEMINAR PRESENTATION,Rajeev Jindal,1,2023-24,1168
,,,,,,,,,,2,,1,SEE691,SEMINAR PRESENTATION,Rajeev Jindal,1,2023-24,1169
,1,4,1,1,3,,,,,,,,AE707,EXPERIMENTAL STRESS ANALYSIS,Rajesh Kitey,1,2024-25,1170
17,3,20,10,13,4,3,,,,,,,AE451A,EXPERIMENTS IN AEROSPACE ENGINEERING III,Rajesh Kitey,1,2024-25,1171
6,,3,,,2,,,,,,,,AE659M,COMPOSITES AND APPLICATION,Rajesh Kitey,2,2023-24,1172
13,6,16,9,10,8,4,5,,1,,,,AE351A,EXPERIMENTS IN AEROSPACE ENGINEERING -II,Rajesh Kitey,2,2023-24,1173
3,,3,,,,,,,,,,,AE704A,DEFORMATION AND FRACTURE,Rajesh Kitey,1,2023-24,1174
5,2,20,18,21,26,4,7,,2,,,,AE602,MATHEMATICS FOR AEROSPACE ENGG.,Rajesh Ranjan,1,2024-25,1175
6,2,6,12,,3,,,,,1,,,AE661,APPLIED COMPUTATIONAL FLUID DYNAMICS,Rajesh Ranjan,2,2023-24,1176
7,1,8,3,9,11,,1,,,,,,AE661A,APPLIED COMPUTATIONAL FLUID DYNAMICS,Rajesh Ranjan,2,2022-23,1177
5,3,18,,25,,10,,,,,,,AE341A,AIRBREATHING PROPULSION,Rajesh Ranjan,2,2021-22,1178
12,3,15,,9,,1,,,1,,,,AE664A,APPLIED COMPRESSIBLE FLOWS,Rajesh Ranjan,1,2021-22,1179
2,,3,5,1,1,,,,,,,,CE732,UNSATURATED SOIL MECHANICS,Rajesh Sathiyamoorthy,1,2024-25,1180
2,,10,2,38,30,14,42,8,8,,,,CE352A,FOUNDATION DESIGN,Rajesh Sathiyamoorthy,2,2023-24,1181
1,,6,1,2,1,,1,,,1,,,CE631,ADVANCED GEOTECHNICAL ENGINEERING,Rajesh Sathiyamoorthy,1,2023-24,1182
1,,1,,,,1,,,,,,,CE634A,GROUND IMPROVEMENT TECHNIQUES,Rajesh Sathiyamoorthy,2,2022-23,1183
2,1,2,3,2,6,,,,,,,,CE611,ADVANCED HYDRAULICS,Rajesh Srivastava,1,2024-25,1184
6,,2,4,,,,,,,,,,CE613A,COMPUTER METHODS IN HYDRAULICS AND HYDROLOGY,Rajesh Srivastava,2,2022-23,1185
11,,9,,8,,5,,,,,,,CE616A,SEDIMENT TRANSPORTATION,Rajesh Srivastava,1,2021-22,1186
13,1,12,,14,,8,,,,,,,CE616A,SEDIMENT TRANSPORTATION,Rajesh Srivastava,1,2019-20,1187
4,,1,,,,,,,,,,,CE612A,FLUID MECHANICS LABORATORY,Rajesh Srivastava,2,2019-20,1188
32,,24,,17,,4,,,,,,,CE616A,SEDIMENT TRANSPORTATION,Rajesh Srivastava,1,2020-21,1189
7,1,18,14,2,3,,,,,,,,MSE626,TRANSPORT PHENOMENA,Rajiv Shekhar,1,2024-25,1190
9,2,25,,12,,12,,,2,,,,MSE202A,RATE PROCESSES,Rajiv Shekhar,2,2016-17,1191
125,1,190,,102,,19,,,4,,,,TA201A,MANUFACTURING PROCESSES I,Rajiv Shekhar,1,2016-17,1192
5,2,3,4,3,3,,3,,1,,,,ES653,SEDIMENTOLOGY AND BASIN ANALYSIS,Rajiv Sinha,2,2023-24,1193
4,3,4,,8,5,,,,,,,,ES412A,SEDIMENTARY PROCESSES & STRATIGRAPHIC PRINCIPLES,Rajiv Sinha,1,2023-24,1194
4,2,5,3,4,8,1,,,1,,,,ES313A,GEOMORPHOLOGY AND EARTH SURFACE PROCESSES,Rajiv Sinha,2,2022-23,1195
4,3,2,8,1,2,1,,,,,,,ES412A,SEDIMENTARY PROCESSES & STRATIGRAPHIC PRINCIPLES,Rajiv Sinha,1,2022-23,1196
2,1,6,,8,,5,,,3,,,,ES313A,GEOMORPHOLOGY AND EARTH SURFACE PROCESSES,Rajiv Sinha,2,2021-22,1197
,,,,,,,,,,41,,2,CHE801,GRADUATE SEMINAR,Raju Kumar Gupta,1,2024-25,1198
7,,19,16,6,11,,1,,1,,,,CHE454A,UNIT OPERATIONS INVOLVING PARTICULATE SOLIDS FOR CHEMICAL ENGINEERS,Raju Kumar Gupta,2,2023-24,1199
6,,14,5,15,10,1,3,,,,,,CHE454A,UNIT OPERATIONS INVOLVING PARTICULATE SOLIDS FOR CHEMICAL ENGINEERS,Raju Kumar Gupta,2,2022-23,1200
2,,14,,3,,,,,,,,,CHE454A,UNIT OPERATIONS INVOLVING PARTICULATE SOLIDS FOR CHEMICAL ENGINEERS,Raju Kumar Gupta,2,2021-22,1201
3,,6,,,,,,,,,,,CHE454A,UNIT OPERATIONS INVOLVING PARTICULATE SOLIDS FOR CHEMICAL ENGINEERS,Raju Kumar Gupta,2,2020-21,1202
4,1,4,5,,7,2,6,1,1,,,,AE664,APPLIED COMPRESSIBLE FLOWS,Rakesh Kumar,1,2024-25,1203
,,,,,,,,,,71,,1,AE401A,TECHNICAL COMMUNICATION,Rakesh Kumar,1,2024-25,1204
1,2,2,2,3,4,,3,,,,,,AE747,MOLECULAR GAS DYNAMICS,Rakesh Kumar,2,2023-24,1205
3,1,9,3,3,6,1,1,,1,,,,AE608A,HEAT TRANSFER IN AEROSPACE APPLICATIONS,Rakesh Kumar,2,2022-23,1206
10,2,11,,17,,23,,9,2,,,,AE211A,INCOMPRESSIBLE AERODYNAMICS,Rakesh Kumar,2,2021-22,1207
7,2,2,2,9,9,,1,,,,,,MTH620,MEASURE THEORY,Rama Rawat,1,2024-25,1208
,,1,,,,,,,,,,,MTH736,FOURIER ANALYSIS-I & DISTRIBUTION THEORY,Rama Rawat,1,2023-24,1209
1,,1,,,1,,,,,,,,MTH652A,ADVANCED CALCULUS,Rama Rawat,2,2022-23,1210
9,4,10,5,8,8,2,3,,4,,,,MTH433A,REAL ANALYSIS,Rama Rawat,1,2022-23,1211
2,,2,,,,,,,,,,,MTH652A,ADVANCED CALCULUS,Rama Rawat,2,2021-22,1212
16,3,1,8,,,,,,,,,,CHM305,ORGANIC QUALITATIVE & QUANTITATIVE ANALYSIS,Ramesh Ramapanicker,1,2024-25,1213
2,3,,,,1,,2,,,,,,CHM602,ADVANCED ORGANIC CHEMISTRY II,Ramesh Ramapanicker,2,2023-24,1214
2,1,8,8,,,,,,,,,,CHM609,PRINCIPLES OF ORGANIC CHEMISTRY,Ramesh Ramapanicker,1,2023-24,1215
2,3,5,1,10,3,15,6,,13,,,,CHM202A,BASIC ORGANIC CHEMISTRY -II,Ramesh Ramapanicker,2,2022-23,1216
2,,3,,,,,,,1,,,,CHM662A,CHEMISTRY OF NATURAL PRODUCTS,Ramesh Ramapanicker,1,2022-23,1217
7,4,10,13,1,5,,2,,1,,,,CHM201,BASIC ORGANIC CHEMISTRY-I,Ramkrishna Sarkar,1,2024-25,1218
4,3,,3,2,2,,,,,,,,CHM656A,ORGANIC STRUCTURE DETERMINATION BY SPECTROSCOPIC TECHNIQUES,Ramkrishna Sarkar,1,2022-23,1219
2,,2,,1,,,,,,,,,EE653,DIGITAL CONTROL,Ramprasad Potluri,1,2024-25,1220
2,1,,,5,,6,,,,,,,EE654,ROBUST CONTROL SYSTEMS,Ramprasad Potluri,2,2023-24,1221
1,,1,,1,,1,,,,,,,EE653A,DIGITAL CONTROL,Ramprasad Potluri,1,2023-24,1222
,,6,,3,,4,,,2,,,,EE653,DIGITAL CONTROL,Ramprasad Potluri,1,2023-24,1223
1,,1,1,1,6,,1,,,,,,EE654A,ROBUST CONTROL SYSTEMS,Ramprasad Potluri,2,2022-23,1224
1,,4,3,3,3,1,1,,,,,,CE610,ADVANCED HYDROLOGY,Richa Ojha,1,2024-25,1225
2,2,1,4,,,,,,,2,,,CE618A,VADOSE ZONE HYDROLOGY,Richa Ojha,1,2023-24,1226
2,,,2,,,,,,,,,,CE618,VADOSE ZONE HYDROLOGY,Richa Ojha,1,2023-24,1227
4,1,,3,,1,,,,,1,,,CE737A,MOMENT ANALYSIS FOR CONTAMINANT FATE AND TRANSPORT,Richa Ojha,1,2022-23,1228
50,,175,,76,,43,,3,1,,,,ESO208A,COMPUTATIONAL METHODS IN ENGINEERING,Richa Ojha,1,2021-22,1229
,,,1,,3,,,,2,,,,ESC201A,INTRODUCTION TO ELECTRONICS,Rik Dey,3,2023-24,1230
3,2,4,2,4,1,2,3,,8,,,,ESC201,INTRODUCTION TO ELECTRONICS,Rik Dey,3,2023-24,1231
,,,2,,,,,,,,,,ESC201P,INTRODUCTION TO ELECTRONICS LAB,Rik Dey,2,2023-24,1232
24,37,125,63,100,128,51,71,14,9,,,,ESC201,INTRODUCTION TO ELECTRONICS,Rik Dey,2,2023-24,1233
19,3,30,26,22,20,4,9,2,5,,,,EE370A,DIGITAL ELECTRONICS,Rik Dey,1,2023-24,1234
101,32,138,155,50,102,5,13,4,11,,,,CHM113M,GENERAL CHEMISTRY: INORGANIC & ORGANIC CHEMISTRY,Ritika Gautam,1,2024-25,1235
1,5,1,1,,,,,,,,,,CHM241A,BASIC INORGANIC CHEMISTRY - I,Ritika Gautam,3,2023-24,1236
15,32,1,5,,1,,,,,,,,CHM241,BASIC INORGANIC CHEMISTRY - I,Ritika Gautam,3,2023-24,1237
4,5,7,3,,,,,,,,,,CHM649A,PRINCIPLES OF INORGANIC CHEMISTRY,Ritika Gautam,1,2023-24,1238
2,11,,1,,,,,,,,,,CHM649,PRINCIPLES OF INORGANIC CHEMISTRY,Ritika Gautam,1,2023-24,1239
2,,3,,1,,,,,2,,,,EE798I,NANOPHOTONICS,Rituraj,1,2024-25,1240
3,1,2,1,,1,,,,,,,,EE798V,QUANTUM COMPUTING AND COMMUNICATION,Rituraj,2,2023-24,1241
,,1,,,2,,1,,,,,,EE798I,NANOPHOTONICS,Rituraj,1,2023-24,1242
1,2,4,,2,1,,1,,,,,,EE798I,NANOPHOTONICS,Rituraj,2,2022-23,1243
9,,,2,,,,,,,,,,ART711,CREATIVE PAINTING-METHODOLOGY & PRACTICES,Ritwij Bhowmik,1,2024-25,1244
16,5,18,28,2,12,3,4,,,,,,ART402,MODERN ART,Ritwij Bhowmik,1,2024-25,1245
17,6,19,20,6,17,1,1,,1,,,,ART707A,INTRODUCTION TO CHINESE CINEMA,Ritwij Bhowmik,3,2023-24,1246
4,5,14,15,4,15,,1,,1,,,,ART707,INTRODUCTION TO CHINESE CINEM,Ritwij Bhowmik,3,2023-24,1247
7,5,22,12,12,13,5,4,,2,,,,BSE311,MOLECULAR CELL BIOLOGY,Robert Sonowal,1,2024-25,1248
1,1,10,4,21,8,8,17,,6,,,,LIF101A,INTRODUCTION TO BIOLOGY,Robert Sonowal,2,2022-23,1249
5,1,14,6,6,10,2,2,,5,,,,EE677,MIMO WIRELESS COMMUNICATION,Rohit Budhiraja,1,2024-25,1250
18,9,9,9,2,7,3,9,,1,,,,EE798L,MACHINE LEARNING FOR WIRELESS COMMUNICATIONS,Rohit Budhiraja,2,2023-24,1251
2,3,4,4,2,6,5,1,,3,,,,EE677A,MIMO WIRELESS COMMUNICATION,Rohit Budhiraja,1,2023-24,1252
3,2,9,4,7,6,,1,,,,,,EE677,MIMO WIRELESS COMMUNICATION,Rohit Budhiraja,1,2023-24,1253
9,3,4,9,2,2,,,,1,,,,CHM648,THE CHEMISTRY OF METAL-CARBON BOND: STRUCTURE REACTIVITY & APPLICATIONS,Sabuj Kumar Kundu,1,2024-25,1254
2,1,5,2,5,9,5,,,3,,,,CHM242,BASIC INORGANIC CHEMISTRY,Sabuj Kumar Kundu,2,2023-24,1255
,,,,1,,,,,,,,,CHM691A,FRONTIERS IN INORGANIC CHEMISTRY,Sabuj Kumar Kundu,1,2023-24,1256
4,2,2,2,,,,,,,,,,CHM691,FRONTIERS IN INORGANIC CHEMISTRY,Sabuj Kumar Kundu,1,2023-24,1257
